start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-06-05 17:09:01.772|2019-06-05 17:09:01.997|   0.225|   0.008|  6|                               10.23.6.2|52698|      21|    2686|00|00:00:00:00:00:00|                           157.240.20.15|  443|      20|    5384|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|6aa36d54|32ac536a|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:01.997|2019-06-05 17:09:01.997|   0.000|   0.000|  6|                               10.23.6.2|52698|       1|      40|00|00:00:00:00:00:00|                           157.240.20.15|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|6aa37153|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:01.998|2019-06-05 17:09:01.998|   0.000|   0.000|  6|                               10.23.6.2|52698|       1|      40|00|00:00:00:00:00:00|                           157.240.20.15|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|6aa37153|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:01.998|2019-06-05 17:09:01.998|   0.000|   0.000|  6|                               10.23.6.2|52698|       1|      40|00|00:00:00:00:00:00|                           157.240.20.15|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|6aa37154|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:01.772|2019-06-05 17:09:02.039|   0.267|   0.009|  6|                               10.23.6.2|52699|      24|    6204|00|00:00:00:00:00:00|                           157.240.20.15|  443|      19|    4817|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|9e2d5174|9208ddc0|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:02.039|2019-06-05 17:09:02.039|   0.000|   0.000|  6|                               10.23.6.2|52699|       1|      40|00|00:00:00:00:00:00|                           157.240.20.15|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|9e2d5fe0|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:02.039|2019-06-05 17:09:02.039|   0.000|   0.000|  6|                               10.23.6.2|52699|       1|      40|00|00:00:00:00:00:00|                           157.240.20.15|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|9e2d5fe0|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:01.436|2019-06-05 17:09:02.467|   1.031|   0.005|  6|                               10.23.6.2|52697|      38|    4309|00|00:00:00:00:00:00|                          172.217.168.74|  443|      36|    9752|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|03dc1cb4|aa3cf372|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:25.386|2019-06-05 17:09:26.545|   1.159|   0.011|  6|                               10.23.6.2|52702|      10|    1685|00|00:00:00:00:00:00|                           17.253.55.206|  443|       6|     910|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|46781bc2|c44cb734|    0|    0|000|    0| 00|      |C1
2019-06-05 17:09:01.333|2019-06-05 17:09:33.371|  32.038|   0.168|  6|                               10.23.6.2|52694|      22|    6219|00|00:00:00:00:00:00|                           17.154.66.155|  443|      20|    7186|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|a4e19cb1|a08a78e8|    0|    0|000|    0| 00|      |C1
