start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-06-05 16:30:28.478|2019-06-05 16:30:28.593|   0.115|   0.011|  6|                               10.23.4.2|49220|       3|     167|00|00:00:00:00:00:00|                           157.240.20.53| 5222|       4|     208|00|00:00:00:00:00:00|       A|     APF|      AR|       A|ee3be5c9|d60c9980|    0|    0|000|    0| 00|      |C1
2019-06-05 16:30:29.574|2019-06-05 16:30:29.600|   0.026|   0.019|  6|                               10.23.4.2|53436|       3|     187|00|00:00:00:00:00:00|                          17.248.146.181|  443|       2|     104|00|00:00:00:00:00:00|      AP|      AF|      AF|       A|585f9c16|0b5a8b16|    0|    0|000|    0| 02|      |C1
2019-06-05 16:32:10.990|2019-06-05 16:32:11.014|   0.024|   0.016|  6|                               10.23.4.2|53425|       3|     179|00|00:00:00:00:00:00|                          17.248.146.139|  443|       3|     156|00|00:00:00:00:00:00|      AP|      AF|      AF|       A|0b1fb785|fdb1922b|    0|    0|000|    0| 02|      |C1
2019-06-05 16:35:08.551|2019-06-05 16:35:08.820|   0.269|   0.025|  6|                               10.23.4.2|53501|      15|    1703|00|00:00:00:00:00:00|                           151.101.64.84|  443|      12|    6738|00|00:00:00:00:00:00|     ECS|     APF|      AS|     APF|f838691a|2dd7d6b1|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:08.550|2019-06-05 16:35:08.835|   0.285|   0.025|  6|                               10.23.4.2|53500|      15|    1703|00|00:00:00:00:00:00|                            151.101.0.84|  443|      12|    6738|00|00:00:00:00:00:00|     ECS|     APF|      AS|     APF|af4d3ea8|3d120979|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:08.560|2019-06-05 16:35:08.836|   0.276|   0.021|  6|                               10.23.4.2|53502|      15|    1704|00|00:00:00:00:00:00|                            151.101.0.84|  443|      12|    6742|00|00:00:00:00:00:00|     ECS|     APF|      AS|     APF|5aee421a|a5e45fc0|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:08.990|2019-06-05 16:35:09.190|   0.200|   0.195|  6|                               10.23.4.2|53509|       2|     104|00|00:00:00:00:00:00|                          50.112.169.154|  443|       1|      60|00|00:00:00:00:00:00|     ECS|       R|     EAS|       0|9bb1410d|2a6d3507|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:08.870|2019-06-05 16:35:10.549|   1.679|   0.009|  6|                               10.23.4.2|53507|      16|    1757|00|00:00:00:00:00:00|                            23.211.4.189|  443|      16|   11340|00|00:00:00:00:00:00|     ECS|    APRF|      AS|     APF|5f9c318a|09129d07|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:10.552|2019-06-05 16:35:10.552|   0.000|   0.000|  6|                               10.23.4.2|53507|       1|      40|00|00:00:00:00:00:00|                            23.211.4.189|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|5f9c3528|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:10.553|2019-06-05 16:35:10.561|   0.008|   0.008|  6|                            23.211.4.189|  443|       1|      52|00|00:00:00:00:00:00|                               10.23.4.2|53507|       1|      40|00|00:00:00:00:00:00|       A|       0|       R|       0|0912c60d|5f9c3529|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:08.870|2019-06-05 16:35:10.563|   1.693|   0.009|  6|                               10.23.4.2|53508|      16|    1756|00|00:00:00:00:00:00|                            23.211.4.189|  443|      17|   11454|00|00:00:00:00:00:00|     ECS|    APRF|      AS|     APF|167a067b|09ef6b1e|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:10.564|2019-06-05 16:35:10.564|   0.000|   0.000|  6|                               10.23.4.2|53508|       1|      40|00|00:00:00:00:00:00|                            23.211.4.189|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|167a0a18|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:08.572|2019-06-05 16:35:10.564|   1.992|   0.006|  6|                               10.23.4.2|53504|      21|    2284|00|00:00:00:00:00:00|                            23.211.4.189|  443|      22|   16861|00|00:00:00:00:00:00|     ECS|    APRF|      AS|     APF|d3913457|094b1e1d|    0|    0|000|    0| 00|      |C1
2019-06-05 16:35:10.564|2019-06-05 16:35:10.564|   0.000|   0.000|  6|                               10.23.4.2|53504|       1|      40|00|00:00:00:00:00:00|                            23.211.4.189|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|d3913900|00000000|    0|    0|000|    0| 00|      |C1
