start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-06-05 17:07:58.449|2019-06-05 17:07:58.548|   0.099|   0.096|  6|                               10.23.5.2|64386|       2|     104|00|00:00:00:00:00:00|                          162.125.18.133|  443|       1|      60|00|00:00:00:00:00:00|       S|       R|      AS|       0|ad2e2b94|811e53f6|    0|    0|000|    0| 00|      |C1
2019-06-05 17:07:58.450|2019-06-05 17:07:58.548|   0.098|   0.095|  6|                               10.23.5.2|64385|       2|     104|00|00:00:00:00:00:00|                          162.125.18.133|  443|       1|      60|00|00:00:00:00:00:00|       S|       R|      AS|       0|b6d47bf9|ed51056b|    0|    0|000|    0| 00|      |C1
2019-06-05 17:07:58.442|2019-06-05 17:07:59.263|   0.821|   0.151|  6|                               10.23.5.2|64384|      12|    1271|00|00:00:00:00:00:00|                             45.32.79.87|  443|       9|    3922|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|1b2152c1|d151539b|    0|    0|000|    0| 00|      |C1
2019-06-05 17:07:59.536|2019-06-05 17:08:01.695|   2.159|   0.015|  6|                               10.23.5.2|64395|      34|    4990|00|00:00:00:00:00:00|                          17.248.146.214|  443|      24|   10550|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|7628b108|39196952|    0|    0|000|    0| 00|      |C1
2019-06-05 17:08:03.900|2019-06-05 17:08:04.005|   0.105|   0.002|  6|                               10.23.5.2|64398|      15|    1451|00|00:00:00:00:00:00|                            23.211.6.246|  443|      13|    8149|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|ffab04e5|d0de0d82|    0|    0|000|    0| 00|      |C1
2019-06-05 17:08:04.007|2019-06-05 17:08:04.007|   0.000|   0.000|  6|                               10.23.5.2|64398|       1|      40|00|00:00:00:00:00:00|                            23.211.6.246|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|ffab0785|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 17:08:04.008|2019-06-05 17:08:04.008|   0.000|   0.000|  6|                               10.23.5.2|64398|       1|      40|00|00:00:00:00:00:00|                            23.211.6.246|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|ffab0786|00000000|    0|    0|000|    0| 00|      |C1
2019-06-05 17:08:19.808|2019-06-05 17:08:36.988|  17.180|   0.009|  6|                               10.23.5.2|64400|      16|    2960|00|00:00:00:00:00:00|                           86.119.34.137|  443|      14|    6451|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|59d09950|94f5ee5f|    0|    0|000|    0| 00|      |C1
2019-06-05 17:08:23.847|2019-06-05 17:08:43.562|  19.715|   0.021|  6|                               10.23.5.2|64401|      24|    8561|00|00:00:00:00:00:00|                          17.248.146.206|  443|      24|   15450|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|010c2e29|0b437e6a|    0|    0|000|    0| 00|      |C1
2019-06-05 17:07:58.637|2019-06-05 17:08:58.641|  60.004|   0.003|  6|                               10.23.5.2|64389|      13|     985|00|00:00:00:00:00:00|                           23.10.249.147|   80|      11|   10061|00|00:00:00:00:00:00|       S|     APF|      AS|    APSF|d1f56426|90e5e871|    0|    0|000|    0| 00|      |C1
