start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-05-28 10:46:25.742|2019-05-28 10:46:25.759|   0.017|   0.003|  6|                               10.23.6.2|53345|       2|     104|00|00:00:00:00:00:00|                         217.146.165.138|   80|       1|      52|00|00:00:00:00:00:00|      AF|       A|      AF|       0|8bed7565|aa41eaa2|    0|    0|000|    0| 00|      |C1
2019-05-28 10:46:25.759|2019-05-28 10:46:25.773|   0.014|   0.004|  6|                               10.23.6.2|53346|       2|     104|00|00:00:00:00:00:00|                         217.146.165.138|   80|       1|      52|00|00:00:00:00:00:00|      AF|       A|      AF|       0|27971e91|03e6b3c6|    0|    0|000|    0| 00|      |C1
2019-05-28 10:46:25.759|2019-05-28 10:46:25.773|   0.014|   0.004|  6|                               10.23.6.2|53343|       2|     104|00|00:00:00:00:00:00|                         217.146.165.138|   80|       1|      52|00|00:00:00:00:00:00|      AF|       A|      AF|       0|720badc7|072b2d9d|    0|    0|000|    0| 00|      |C1
2019-05-28 10:46:25.759|2019-05-28 10:46:25.773|   0.014|   0.004|  6|                               10.23.6.2|53344|       2|     104|00|00:00:00:00:00:00|                         217.146.165.138|   80|       1|      52|00|00:00:00:00:00:00|      AF|       A|      AF|       0|ffbebcc8|4a2ed88f|    0|    0|000|    0| 00|      |C1
2019-05-28 10:47:26.741|2019-05-28 10:47:26.752|   0.011|   0.004|  6|                               10.23.6.2|53342|       3|     180|00|00:00:00:00:00:00|                          172.217.168.74|  443|       2|     104|00|00:00:00:00:00:00|      AP|      AF|      AF|       A|953dc843|d9a6236f|    0|    0|000|    0| 00|      |C1
2019-05-28 10:51:25.059|2019-05-28 10:55:53.977| 268.918|   0.497|  6|                            17.252.76.28| 5223|      22|    6082|00|00:00:00:00:00:00|                               10.23.6.2|50115|      29|    2212|00|00:00:00:00:00:00|      AP|     CAP|      AP|      AP|ba021af2|39e16ede|    0|    0|000|    0| 02|  idle|C1
2019-05-28 11:05:26.211|2019-05-28 11:06:32.922|  66.711|   0.016|  6|                               10.23.6.2|53347|      26|    5067|00|00:00:00:00:00:00|                          17.248.146.138|  443|      27|   20608|00|00:00:00:00:00:00|     ECS|     APF|     EAS|    APRF|48e6a959|da8bf917|    0|    0|000|    0| 00|      |C1
2019-05-28 11:05:25.654|2019-05-28 11:05:31.907|   6.253|   0.092|  6|                            17.252.76.28| 5223|      13|    1799|00|00:00:00:00:00:00|                               10.23.6.2|50115|      13|    1058|00|00:00:00:00:00:00|      AP|      AP|      AP|      AP|ba0229c8|39e1717a|    0|    0|000|    0| 02|  idle|C1
2019-05-28 11:05:26.065|2019-05-28 11:05:26.162|   0.097|   0.097| 17|                               10.23.6.2|54042|       1|      78|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     206|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-28 11:11:11.354|2019-05-28 11:11:58.272|  46.918|   0.017|  6|                               10.23.6.2|53348|      23|    4650|00|00:00:00:00:00:00|                          17.248.146.115|  443|      25|   19486|00|00:00:00:00:00:00|     ECS|     APF|     EAS|     APF|defcb145|825d3f6a|    0|    0|000|    0| 00|      |C1
2019-05-28 11:15:47.377|2019-05-28 11:16:55.838|  68.461|   0.015|  6|                               10.23.6.2|53349|      27|    5119|00|00:00:00:00:00:00|                          17.248.146.108|  443|      27|   20761|00|00:00:00:00:00:00|     ECS|     APF|     EAS|    APRF|0e62a281|0f8b76e3|    0|    0|000|    0| 00|      |C1
2019-05-28 11:16:55.839|2019-05-28 11:16:55.839|   0.000|   0.000|  6|                          17.248.146.108|  443|       1|      40|00|00:00:00:00:00:00|                               10.23.6.2|53349|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|0f8bc267|00000000|    0|    0|000|    0| 00|      |C1
2019-05-28 11:11:11.300|2019-05-28 11:11:11.326|   0.026|   0.026| 17|                               10.23.6.2|56212|       1|      78|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     206|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-28 11:15:47.354|2019-05-28 11:15:47.368|   0.014|   0.014| 17|                               10.23.6.2|56425|       1|      78|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     206|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-28 11:11:10.129|2019-05-28 11:15:55.019| 284.890|   1.048|  6|                            17.252.76.28| 5223|      18|    2803|00|00:00:00:00:00:00|                               10.23.6.2|50115|      20|    1491|00|00:00:00:00:00:00|      AP|     CAP|      AP|     CAP|ba022e2b|39e172f8|    0|    0|000|    0| 02|  idle|C1
2019-05-28 11:15:58.405|2019-05-28 11:15:58.409|   0.004|   0.004| 17|                               10.23.6.2|53669|       1|      69|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     144|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-28 11:21:06.836|2019-05-28 11:21:08.153|   1.317|   0.026|  6|                               10.23.6.2|53351|      22|    3300|00|00:00:00:00:00:00|                          17.248.145.177|  443|      19|    9111|00|00:00:00:00:00:00|     ECS|     APF|     EAS|     APF|323a9b3f|370ba240|    0|    0|000|    0| 00|      |C1
2019-05-28 11:21:09.453|2019-05-28 11:21:10.959|   1.506|   0.020|  6|                               10.23.6.2|53352|      21|    4409|00|00:00:00:00:00:00|                          17.248.145.177|  443|      14|    2282|00|00:00:00:00:00:00|     ECS|     APF|     EAS|     APF|333f58f8|71aea224|    0|    0|000|    0| 00|      |C1
2019-05-28 11:21:13.751|2019-05-28 11:21:13.922|   0.171|   0.167|  6|                               10.23.6.2|53355|       2|     104|00|00:00:00:00:00:00|                           17.248.185.37|  443|       1|      60|00|00:00:00:00:00:00|     ECS|       R|     EAS|       0|5eae9f7d|bbd17fc1|    0|    0|000|    0| 00|      |C1
2019-05-28 11:21:12.265|2019-05-28 11:21:15.221|   2.956|   0.015|  6|                               10.23.6.2|53353|      34|    9521|00|00:00:00:00:00:00|                          17.248.145.169|  443|      25|   12777|00|00:00:00:00:00:00|     ECS|     APF|     EAS|     APF|a1102fa3|290a31f0|    0|    0|000|    0| 00|      |C1
