start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-05-30 13:00:56.354|2019-05-30 13:02:52.613| 116.259|   0.009|  6|                               10.23.4.2|49468|      14|    1427|00|00:00:00:00:00:00|                           17.253.55.212|  443|      14|    6503|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|d11c6d9b|4a88e547|    0|    0|000|    0| 00|      |C1
2019-05-30 13:02:52.613|2019-05-30 13:02:52.613|   0.000|   0.000|  6|                               10.23.4.2|49468|       1|      40|00|00:00:00:00:00:00|                           17.253.55.212|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|d11c7038|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 13:02:52.614|2019-05-30 13:02:52.614|   0.000|   0.000|  6|                               10.23.4.2|49468|       1|      40|00|00:00:00:00:00:00|                           17.253.55.212|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|d11c7038|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 13:02:52.627|2019-05-30 13:02:52.627|   0.000|   0.000|  6|                           17.253.55.212|  443|       1|      40|00|00:00:00:00:00:00|                               10.23.4.2|49468|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4a88fb72|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 13:02:52.627|2019-05-30 13:02:52.627|   0.000|   0.000|  6|                           17.253.55.212|  443|       1|      40|00|00:00:00:00:00:00|                               10.23.4.2|49468|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4a88fb72|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 13:02:52.712|2019-05-30 13:06:53.382| 240.670|   0.003|  6|                               10.23.4.2|49469|      22|    2347|00|00:00:00:00:00:00|                          172.217.168.74|  443|      16|    1978|00|00:00:00:00:00:00|       S|     APF|      AS|    APRF|3588ee41|daccb5d9|    0|    0|000|    0| 00|      |C1
2019-05-30 13:06:53.383|2019-05-30 13:06:53.383|   0.000|   0.000|  6|                          172.217.168.74|  443|       1|      40|00|00:00:00:00:00:00|                               10.23.4.2|49469|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|daccba1a|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 13:00:47.271|2019-05-30 13:00:58.472|  11.201|   0.114|  6|                               10.23.4.2|49568|      11|     975|00|00:00:00:00:00:00|                            17.252.92.89| 5223|       9|     692|01|00:00:00:00:00:00|      AP|      AP|      AP|      AP|eb5b2ad2|283b0eeb|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:00:56.328|2019-05-30 13:00:56.344|   0.016|   0.016| 17|                               10.23.4.2|60881|       1|      63|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     173|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:02:52.701|2019-05-30 13:02:52.705|   0.004|   0.004| 17|                               10.23.4.2|49718|       1|      73|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|      89|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:10:06.160|2019-05-30 13:16:06.797| 360.637|   0.027|  6|                            17.252.92.89| 5223|      38|    7320|00|00:00:00:00:00:00|                               10.23.4.2|49568|      36|    2787|00|00:00:00:00:00:00|       A|      AP|      AP|      AP|283b0fbf|eb5b2c30|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:09:04.154|2019-05-30 13:09:04.168|   0.014|   0.014| 17|                               10.23.4.2|53934|       1|      64|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     145|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:09:04.174|2019-05-30 13:09:04.182|   0.008|   0.008| 17|                               10.23.4.2|  123|       1|      76|00|00:00:00:00:00:00|                           17.253.54.125|  123|       1|      76|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:09:04.186|2019-05-30 13:09:04.195|   0.009|   0.009| 17|                               10.23.4.2|  123|       1|      76|00|00:00:00:00:00:00|                           17.253.54.253|  123|       1|      76|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:09:04.199|2019-05-30 13:09:04.214|   0.015|   0.015| 17|                               10.23.4.2|  123|       1|      76|00|00:00:00:00:00:00|                           17.253.52.125|  123|       1|      76|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 13:29:07.278|2019-05-30 13:29:08.789|   1.511|   0.015|  6|                               10.23.4.2|49470|      24|    3438|00|00:00:00:00:00:00|                          17.248.146.203|  443|      20|    9231|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|ac7ce2b3|284eb980|    0|    0|000|    0| 00|      |C1
2019-05-30 13:29:08.782|2019-05-30 13:29:10.087|   1.305|   0.019|  6|                               10.23.4.2|49471|      18|    3352|00|00:00:00:00:00:00|                          17.248.146.203|  443|      12|    1407|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|f2e34662|9110e1cb|    0|    0|000|    0| 00|      |C1
2019-05-30 13:29:11.409|2019-05-30 13:29:13.090|   1.681|   0.016|  6|                               10.23.4.2|49472|      22|    3850|00|00:00:00:00:00:00|                          17.248.146.139|  443|      18|    9122|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|bccff7d3|f2b939df|    0|    0|000|    0| 00|      |C1
2019-05-30 13:29:11.845|2019-05-30 13:32:12.816| 180.971|   0.015|  6|                               10.23.4.2|49473|      23|    2621|00|00:00:00:00:00:00|                          17.248.146.180|  443|      23|    9740|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|4c526409|e97638cb|    0|    0|000|    0| 00|      |C1
2019-05-30 13:32:12.816|2019-05-30 13:32:12.816|   0.000|   0.000|  6|                               10.23.4.2|49473|       1|      40|00|00:00:00:00:00:00|                          17.248.146.180|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4c526988|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 13:32:12.817|2019-05-30 13:32:12.817|   0.000|   0.000|  6|                               10.23.4.2|49473|       1|      40|00|00:00:00:00:00:00|                          17.248.146.180|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4c526988|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 13:32:12.817|2019-05-30 13:32:12.817|   0.000|   0.000|  6|                               10.23.4.2|49473|       1|      40|00|00:00:00:00:00:00|                          17.248.146.180|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4c526988|00000000|    0|    0|000|    0| 00|      |C1
