start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2015-02-15 23:29:50.619|2015-02-15 23:29:51.025|   0.406|   0.137|  6|                          192.168.137.81|49157|       5|     309|00|00:00:00:00:00:00|                             2.16.162.33|   80|       5|     391|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|6adb1c4b|1a1b14bb|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:40.706|2015-02-15 23:33:42.125|   1.419|   0.468|  6|                          192.168.137.81|49174|       5|     602|00|00:00:00:00:00:00|                          211.49.170.155|   80|       5|    1565|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|a269d1e2|2b0d7f1a|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:38.886|2015-02-15 23:33:42.182|   3.296|   0.488|  6|                          192.168.137.81|49172|       7|     698|00|00:00:00:00:00:00|                          211.49.170.155|   80|       8|    6551|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|f6ca43bb|638978dd|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:40.705|2015-02-15 23:33:43.112|   2.407|   0.479|  6|                          192.168.137.81|49173|      11|     842|00|00:00:00:00:00:00|                          211.49.170.155|   80|      15|   16458|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|b2e727fe|39e20c29|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:40.706|2015-02-15 23:33:44.253|   3.547|   0.476|  6|                          192.168.137.81|49175|      25|    1409|00|00:00:00:00:00:00|                          211.49.170.155|   80|      42|   55008|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|b065bba3|fcdee5ad|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:38.886|2015-02-15 23:33:44.298|   5.412|   0.469|  6|                          192.168.137.81|49171|      57|    2774|00|00:00:00:00:00:00|                          211.49.170.155|   80|     106|  144227|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|c1823e1f|716a7bd8|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:42.252|2015-02-15 23:33:44.324|   2.072|   0.462|  6|                          192.168.137.81|49182|      10|     791|00|00:00:00:00:00:00|                          211.49.170.155|   80|      12|   11751|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|5cef819a|3e194638|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:41.654|2015-02-15 23:33:44.812|   3.158|   0.493|  6|                          192.168.137.81|49179|      18|    1107|00|00:00:00:00:00:00|                          211.49.170.155|   80|      28|   34501|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|88ed48bd|4f07c722|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:42.814|2015-02-15 23:33:44.968|   2.154|   0.485|  6|                          192.168.137.81|49183|       9|     752|00|00:00:00:00:00:00|                          211.49.170.155|   80|      12|   12432|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|cac6c800|3345ad96|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:42.251|2015-02-15 23:33:45.074|   2.823|   0.481|  6|                          192.168.137.81|49181|      14|     966|00|00:00:00:00:00:00|                          211.49.170.155|   80|      20|   23551|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|22ba29d2|68898caf|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:41.693|2015-02-15 23:33:45.115|   3.422|   0.496|  6|                          192.168.137.81|49180|      19|    1142|00|00:00:00:00:00:00|                          211.49.170.155|   80|      30|   37183|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|5bd66b5e|bb3b1a13|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:44.311|2015-02-15 23:33:45.566|   1.255|   0.417|  6|                          192.168.137.81|49192|       6|     602|00|00:00:00:00:00:00|                         211.111.221.233|   80|       7|    3340|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|d3553f9b|96c16f06|    0|    0|000|    0| 00|      |C1
2015-02-15 23:33:44.311|2015-02-15 23:33:45.598|   1.287|   0.427|  6|                          192.168.137.81|49191|       7|     633|00|00:00:00:00:00:00|                         211.111.221.233|   80|       7|    4398|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|c53891cb|d8fa0dd7|    0|    0|000|    0| 00|      |C1
