start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-01-04 02:04:55.058|2019-01-04 02:04:55.071|   0.013|   0.003|  6|                            192.168.1.27|64440|       3|     179|00|00:00:00:00:00:00|                           17.250.120.17|  443|       2|     104|00|00:00:00:00:00:00|      AP|      AF|      AF|       A|e3518ecb|19b49ae9|    0|    0|000|    0| 00|      |C1
2019-01-04 02:04:56.875|2019-01-04 02:04:56.885|   0.010|   0.004|  6|                            192.168.1.27|64462|       3|     175|00|00:00:00:00:00:00|                           184.85.118.72|  443|       2|     135|00|00:00:00:00:00:00|      AP|     ARF|      AP|      AF|aeee90cc|b11989b8|    0|    0|000|    0| 00|      |C1
2019-01-04 02:04:56.885|2019-01-04 02:04:56.885|   0.000|   0.000|  6|                            192.168.1.27|64462|       1|      40|00|00:00:00:00:00:00|                           184.85.118.72|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|aeee90ec|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:04:57.924|2019-01-04 02:04:57.933|   0.009|   0.003|  6|                            192.168.1.27|64463|       2|     135|00|00:00:00:00:00:00|                           184.85.118.72|  443|       3|     187|00|00:00:00:00:00:00|      AP|      AF|      AP|      AF|53cdc7ac|b1755f87|    0|    0|000|    0| 00|      |C1
2019-01-04 02:04:57.933|2019-01-04 02:04:57.933|   0.000|   0.000|  6|                            192.168.1.27|64463|       1|      40|00|00:00:00:00:00:00|                           184.85.118.72|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|53cdc7cb|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:04:57.957|2019-01-04 02:04:57.957|   0.000|   0.000|  6|                            192.168.1.27|64463|       1|      40|00|00:00:00:00:00:00|                           184.85.118.72|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|53cdc7cb|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:04:57.957|2019-01-04 02:04:57.957|   0.000|   0.000|  6|                            192.168.1.27|64463|       1|      40|00|00:00:00:00:00:00|                           184.85.118.72|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|53cdc7cc|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:14.783|2019-01-04 02:05:16.521|   1.738|   0.242|  6|                            192.168.1.27|64468|      12|    1563|00|00:00:00:00:00:00|                            185.99.24.88|  443|       9|    3054|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|8e847710|9626cffd|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:18.674|2019-01-04 02:05:18.683|   0.009|   0.003|  6|                            192.168.1.27|64466|       3|     151|00|00:00:00:00:00:00|                           17.252.194.18|  443|       2|      80|00|00:00:00:00:00:00|      AP|      AF|      AF|       A|82340f1a|7e246562|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:17.287|2019-01-04 02:05:19.208|   1.921|   0.242|  6|                            192.168.1.27|64469|      13|    4061|00|00:00:00:00:00:00|                            185.99.24.88|  443|      10|    2186|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|2a257e63|7aabad4b|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:20.079|2019-01-04 02:05:21.388|   1.309|   0.216|  6|                            192.168.1.27|64470|      15|    1583|00|00:00:00:00:00:00|                            17.171.26.20|  443|      13|    4837|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|6e4d9ef0|9df64db6|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:21.388|2019-01-04 02:05:21.388|   0.000|   0.000|  6|                            192.168.1.27|64470|       1|      40|00|00:00:00:00:00:00|                            17.171.26.20|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|6e4da2b1|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:22.144|2019-01-04 02:05:23.375|   1.231|   0.223|  6|                            192.168.1.27|64471|      17|    4780|00|00:00:00:00:00:00|                            17.171.26.20|  443|      14|    4085|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|b703bc00|26cb8e66|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:23.375|2019-01-04 02:05:23.375|   0.000|   0.000|  6|                            192.168.1.27|64471|       1|      40|00|00:00:00:00:00:00|                            17.171.26.20|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|b703cbee|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:25.425|2019-01-04 02:05:27.051|   1.626|   0.243|  6|                            192.168.1.27|64472|      13|    1913|00|00:00:00:00:00:00|                            185.99.24.88|  443|      11|    3966|00|00:00:00:00:00:00|       S|     APF|      AS|    APRF|986efed4|2a280362|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:27.052|2019-01-04 02:05:27.052|   0.000|   0.000|  6|                            185.99.24.88|  443|       1|      40|00|00:00:00:00:00:00|                            192.168.1.27|64472|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|2a2810aa|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:03.757|2019-01-04 02:05:33.912|  30.155|   0.003|  6|                            192.168.1.27|64467|      12|    1304|00|00:00:00:00:00:00|                          17.252.201.246|  443|       8|    2981|00|00:00:00:00:00:00|       S|     APF|      AS|    APRF|b278c4f7|38e4d6de|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:33.914|2019-01-04 02:05:33.914|   0.000|   0.000|  6|                          17.252.201.246|  443|       1|      40|00|00:00:00:00:00:00|                            192.168.1.27|64467|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|38e4e0e9|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:33.915|2019-01-04 02:05:33.915|   0.000|   0.000|  6|                          17.252.201.246|  443|       1|      40|00|00:00:00:00:00:00|                            192.168.1.27|64467|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|38e4e0e9|00000000|    0|    0|000|    0| 00|      |C1
2019-01-04 02:05:34.558|2019-01-04 02:05:35.949|   1.391|   0.243|  6|                            192.168.1.27|64473|      11|    1774|00|00:00:00:00:00:00|                            185.99.24.88|  443|       8|     772|00|00:00:00:00:00:00|       S|    APRF|      AS|     APF|2f3e5573|80285102|    0|    0|000|    0| 00|      |C1
