start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-05-17 13:03:34.205|2019-05-17 13:03:34.484|   0.279|   0.021|  6|                          192.168.137.19|62509|       3|     187|00|00:00:00:00:00:00|                         213.180.204.127|  443|       2|     104|00|00:00:00:00:00:00|      AP|      AF|      AF|       A|7afa00e3|fbd4122f|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:33.232|2019-05-17 13:03:35.837|   2.605|   0.349|  6|                          93.158.134.248|  443|      54|   73033|00|00:00:00:00:00:00|                          192.168.137.19|62511|      39|    3694|00|00:00:00:00:00:00|      AP|      AP|      AP|     APR|0245336b|7d01b864|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:35.589|2019-05-17 13:03:36.093|   0.504|   0.019|  6|                          192.168.137.19|62514|       2|     104|00|00:00:00:00:00:00|                            77.88.21.110|  443|       1|      60|00|00:00:00:00:00:00|       S|       R|      AS|       0|8b444c2a|d29b876a|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:34.495|2019-05-17 13:03:38.040|   3.545|   0.024|  6|                          192.168.137.19|62513|      15|    1584|00|00:00:00:00:00:00|                         213.180.204.127|  443|      11|    8171|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|82411157|739ebf93|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:39.315|2019-05-17 13:03:39.536|   0.221|   0.018|  6|                          192.168.137.19|62471|       3|     187|00|00:00:00:00:00:00|                          74.125.131.157|  443|       2|     104|00|00:00:00:00:00:00|      AP|      AF|      AF|       A|a065b18a|03d89cd5|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:38.111|2019-05-17 13:03:41.106|   2.995|   0.015|  6|                          192.168.137.19|62515|      13|    1468|00|00:00:00:00:00:00|                         213.180.204.127|  443|      11|    6871|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|28f9ebfd|17e024d4|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:40.619|2019-05-17 13:03:41.107|   0.488|   0.192|  6|                          192.168.137.19|62473|       3|     151|00|00:00:00:00:00:00|                            17.154.67.25|  443|       3|     151|00|00:00:00:00:00:00|      AP|     ARF|      AF|       A|82700ba4|cb6a4f34|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:41.107|2019-05-17 13:03:41.107|   0.000|   0.000|  6|                          192.168.137.19|62473|       1|      40|00|00:00:00:00:00:00|                            17.154.67.25|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|82700bc4|00000000|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:41.656|2019-05-17 13:03:41.929|   0.273|   0.193|  6|                          192.168.137.19|62474|       3|     151|00|00:00:00:00:00:00|                            17.154.67.25|  443|       3|     151|00|00:00:00:00:00:00|      AP|     ARF|      AF|       A|1ba6b3a0|1fea82bb|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:41.929|2019-05-17 13:03:41.929|   0.000|   0.000|  6|                          192.168.137.19|62474|       1|      40|00|00:00:00:00:00:00|                            17.154.67.25|  443|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|1ba6b3c0|00000000|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:40.796|2019-05-17 13:03:43.273|   2.477|   0.016|  6|                          192.168.137.19|62516|      13|    1456|00|00:00:00:00:00:00|                         213.180.204.127|  443|      10|    6768|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|58dd7201|85f71e8e|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:49.410|2019-05-17 13:03:52.168|   2.758|   0.021|  6|                          192.168.137.19|65534|       5|     312|00|00:00:00:00:00:00|                          74.125.131.188| 5228|       5|     324|00|00:00:00:00:00:00|      AP|    APRF|      AP|     APF|4c353c02|b7dc6d17|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:52.168|2019-05-17 13:03:52.168|   0.000|   0.000|  6|                          192.168.137.19|65534|       1|      40|00|00:00:00:00:00:00|                          74.125.131.188| 5228|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4c353c42|00000000|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:52.168|2019-05-17 13:03:52.168|   0.000|   0.000|  6|                          192.168.137.19|65534|       1|      40|00|00:00:00:00:00:00|                          74.125.131.188| 5228|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4c353c43|00000000|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:52.467|2019-05-17 13:03:52.467|   0.000|   0.000|  6|                          192.168.137.19|65534|       1|      40|00|00:00:00:00:00:00|                          74.125.131.188| 5228|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|4c353c43|00000000|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:52.216|2019-05-17 13:03:54.869|   2.653|   0.006|  6|                          192.168.137.19|62518|      27|    4049|00|00:00:00:00:00:00|                           64.233.161.95|  443|      24|   14974|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|39777f1c|1faf61ec|    0|    0|000|    0| 00|      |C1
2019-05-17 13:03:54.022|2019-05-17 13:03:55.677|   1.655|   0.019|  6|                          192.168.137.19|62519|      24|    3925|00|00:00:00:00:00:00|                           108.177.14.95|  443|      20|    7084|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|cf7b6f68|84763f72|    0|    0|000|    0| 00|      |C1
