start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2018-11-30 11:18:00.964|2018-11-30 11:18:06.099|   5.135|   0.000|  6|                               127.0.0.1|49800|      17|    1752|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      18|    6030|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|e232b4c3|ab2fc8d5|    0|    0|000|    0| 00|      |C1
2018-11-30 11:18:01.240|2018-11-30 11:18:22.639|  21.399|   0.000|  6|                               127.0.0.1|49805|       9|     447|00|00:00:00:00:00:00|                               127.0.0.1| 9150|       8|     336|01|00:00:00:00:00:00|       S|     APF|      AS|     APF|b98fe6e9|724fe1bf|    0|    0|000|    0| 00|      |C1
2018-11-30 11:18:10.434|2018-11-30 11:18:22.639|  12.205|   0.000|  6|                               127.0.0.1|49809|      11|     723|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      10|     426|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|45cb8890|809d5e3f|    0|    0|000|    0| 00|      |C1
2018-11-30 11:17:59.505|2018-11-30 11:18:22.639|  23.134|   0.000|  6|                               127.0.0.1|49796|      18|    1883|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      19|    7697|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|72be14bf|d9611fde|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:16.860|2018-11-30 11:19:17.771|   0.911|   0.000|  6|                               127.0.0.1|49813|      20|    1998|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      21|    5914|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|b5594964|429fe498|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:16.860|2018-11-30 11:19:17.861|   1.001|   0.000|  6|                               127.0.0.1|49815|      20|    2009|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      21|    5439|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|af1bbf09|a0138cea|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:16.897|2018-11-30 11:19:17.945|   1.048|   0.000|  6|                               127.0.0.1|49816|      20|    2106|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      21|    5346|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|0f9385e4|db9c1b49|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:20.882|2018-11-30 11:20:04.973|  44.091|   0.000|  6|                               127.0.0.1|49818|      16|    1175|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      16|    2847|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|966a53fb|7e8672f0|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:22.459|2018-11-30 11:20:44.036|  81.577|   0.000|  6|                               127.0.0.1|49819|       9|     461|00|00:00:00:00:00:00|                               127.0.0.1| 9150|       8|     336|01|00:00:00:00:00:00|       S|     APF|      AS|     APF|7a8e9857|68ea9f66|    0|    0|000|    0| 00|      |C1
2018-11-30 11:20:48.611|2018-11-30 11:20:54.902|   6.291|   0.000|  6|                               127.0.0.1|49822|      10|     501|00|00:00:00:00:00:00|                               127.0.0.1| 9150|       9|     386|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|a28d1eb2|fec5f38d|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:20.329|2018-11-30 11:21:13.415| 113.086|   0.000|  6|                               127.0.0.1|49817|      28|    2284|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      28|    4309|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|2d455627|c5596dc4|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:16.860|2018-11-30 11:22:09.705| 172.845|   0.000|  6|                               127.0.0.1|49814|      28|    2414|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      36|   16993|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|d6212442|78e63b1f|    0|    0|000|    0| 00|      |C1
2018-11-30 11:18:40.889|2018-11-30 11:22:09.705| 208.816|   0.000|  6|                               127.0.0.1|49810|     228|   13150|00|00:00:00:00:00:00|                               127.0.0.1| 9150|     440|  458293|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|d7c1c35b|aba6494a|    0|    0|000|    0| 00|      |C1
2018-11-30 11:19:16.580|2018-11-30 11:22:11.347| 174.767|   0.000|  6|                               127.0.0.1|49812|      29|    2934|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      30|    6676|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|d6e69313|8f0bdbcc|    0|    0|000|    0| 00|      |C1
2018-11-30 11:21:37.153|2018-11-30 11:22:12.448|  35.295|   0.000|  6|                               127.0.0.1|49824|      22|    2563|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      21|    4231|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|d24deed7|4b5a3f82|    0|    0|000|    0| 00|      |C1
2018-11-30 11:21:37.168|2018-11-30 11:22:12.584|  35.416|   0.000|  6|                               127.0.0.1|49827|      20|    2158|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      20|    5166|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|4ceb0d1b|42094025|    0|    0|000|    0| 00|      |C1
2018-11-30 11:21:29.295|2018-11-30 11:22:12.669|  43.374|   0.000|  6|                               127.0.0.1|49823|      24|    2669|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      28|   12655|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|18037ffd|de625be5|    0|    0|000|    0| 00|      |C1
2018-11-30 11:21:37.153|2018-11-30 11:22:13.186|  36.033|   0.000|  6|                               127.0.0.1|49826|      26|    2714|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      32|   17362|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|20d4da9a|9d83d0a4|    0|    0|000|    0| 00|      |C1
2018-11-30 11:21:37.153|2018-11-30 11:22:13.186|  36.033|   0.000|  6|                               127.0.0.1|49825|      25|    2672|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      32|   16333|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|9e2709a7|7693ba9b|    0|    0|000|    0| 00|      |C1
2018-11-30 11:22:26.898|2018-11-30 11:22:31.532|   4.634|   0.000|  6|                               127.0.0.1|49837|      18|    1492|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      19|    5919|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|7430d10c|4da167ec|    0|    0|000|    0| 00|      |C1
2018-11-30 11:20:44.036|2018-11-30 11:22:38.348| 114.312|   0.000|  6|                               127.0.0.1|49820|      30|    3376|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      32|   10267|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|c173c6bb|6b2b848e|    0|    0|000|    0| 00|      |C1
2018-11-30 11:22:13.498|2018-11-30 11:22:50.577|  37.079|   0.000|  6|                               127.0.0.1|49834|      31|    2990|00|00:00:00:00:00:00|                               127.0.0.1| 9150|      47|   36062|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|c1c8d534|10bd35f1|    0|    0|000|    0| 00|      |C1
